,PROCLAIMED,FORESTNAME,GIS_ACRES,nb_stations,nb_stations_ext
0,295435010328,Allegheny National Forest,740686.211,14,33
1,295380010328,Angeles National Forest,695598.432,45,100
2,295458010328,Angelina National Forest,398093.002,9,13
3,295372010328,Apache National Forest,1869703.247,34,40
4,295400010328,Apalachicola National Forest,633591.3,9,22
5,295502010328,Arapaho National Forest,767577.662,33,128
6,295454010328,Ashley National Forest,1401146.373,25,37
7,295413010328,Beaverhead National Forest,2206169.922,18,41
8,295479010328,Bienville National Forest,388448.533,6,9
9,66329010328,Bighorn National Forest,1112645.655,21,30
10,295412010328,Bitterroot National Forest,1661763.385,18,33
11,295460010328,Black Hills National Forest,1536669.771,73,138
12,295493010328,Boise National Forest,2950447.704,52,71
13,295439010328,Bridger National Forest,1742733.436,25,52
14,295453010328,Cache National Forest,1217789.851,29,77
15,295492010328,Caribou National Forest,1084365.979,6,38
16,295429010328,Carson National Forest,1485861.996,39,95
17,295491010328,Challis National Forest,2479730.138,18,27
18,295396010328,Chattahoochee National Forest,1470909.79,83,144
19,295443010328,Chequamegon National Forest,1039425.449,9,19
20,295459010328,Cherokee National Forest,1227353.234,49,109
21,295481010328,Chippewa National Forest,1599789.388,25,37
22,295369010328,Chugach National Forest,6244691.014,35,54
23,295428010328,Cibola National Forest,2107711.782,34,204
24,295490010328,Clearwater National Forest,1723274.186,15,23
25,295381010328,Cleveland National Forest,561176.482,28,73
26,295373010328,Coconino National Forest,2009446.799,106,130
27,295489010328,Coeur d'Alene National Forest,803694.286,13,32
28,295445010328,Colville National Forest,1096032.449,11,25
29,295366010328,Conecuh National Forest,171214.999,2,3
30,295374010328,Coronado National Forest,1784500.095,32,183
31,295421010328,Croatan National Forest,307500.701,45,108
32,295411010328,Custer National Forest,1281526.885,16,40
33,295404010328,Daniel Boone National Forest,1360556.059,30,52
34,295457010328,Davy Crockett National Forest,389609.015,5,8
35,295478010328,De Soto National Forest,833870.886,12,28
36,295477010328,Deerlodge National Forest,1373789.945,20,44
37,295416010328,Delta National Forest,120734.33,0,2
38,295469010328,Deschutes National Forest,1869820.814,39,69
39,295452010328,Dixie National Forest,1965229.672,31,56
40,295434010328,El Yunque National Forest,55394.298,8,20
41,295382010328,Eldorado National Forest,891954.713,23,55
42,295424010328,Finger Lakes National Forest,16811.219,0,9
43,295451010328,Fishlake National Forest,1533974.468,29,52
44,295476010328,Flathead National Forest,2649702.652,24,61
45,295462010328,Francis Marion National Forest,416839.985,11,37
46,106640010328,Fremont National Forest,1713917.383,16,32
47,295475010328,Gallatin National Forest,2127644.606,47,72
48,295448010328,George Washington National Forest,1797140.177,40,76
49,93007010328,Gifford Pinchot National Forest,1532172.644,31,78
50,295427010328,Gila National Forest,2741548.223,53,124
51,295501010328,Grand Mesa National Forest,351209.089,6,17
52,295449010328,Green Mountain National Forest,826807.728,36,76
53,295500010328,Gunnison National Forest,1760893.396,25,51
54,295474010328,Helena National Forest,1174209.698,20,43
55,295485010328,Hiawatha National Forest,1300330.085,14,40
56,295418010328,Holly Springs National Forest,529166.081,6,17
57,295417010328,Homochitto National Forest,380437.211,5,11
58,295405010328,Hoosier National Forest,646582.531,20,50
59,295431010328,Humboldt National Forest,2519736.737,42,65
60,295484010328,Huron National Forest,690704.647,13,25
61,295383010328,Inyo National Forest,2067786.113,25,35
62,295447010328,Jefferson National Forest,1659870.575,34,115
63,105935010328,Kaibab National Forest,1601002.978,14,31
64,295488010328,Kaniksu National Forest,1951101.762,22,52
65,295403010328,Kisatchie National Forest,1029710.544,23,47
66,295385010328,Klamath National Forest,1868325.583,21,38
67,295473010328,Kootenai National Forest,2141970.221,26,43
68,295386010328,Lassen National Forest,1376571.518,9,37
69,295472010328,Lewis & Clark National Forest,2001605.417,28,53
70,295426010328,Lincoln National Forest,1261848.935,60,113
71,295471010328,Lolo National Forest,2638522.343,14,60
72,295387010328,Los Padres National Forest,1956740.523,40,82
73,295467010328,Malheur National Forest,1544580.959,14,26
74,295483010328,Manistee National Forest,1328981.664,21,40
75,96812010328,Manti-La Sal National Forest,1337654.214,32,63
76,295414010328,Mark Twain National Forest,3044946.433,76,215
77,275385010328,Medicine Bow National Forest,1388358.646,31,51
78,295388010328,Mendocino National Forest,1072408.97,12,22
79,295389010328,Modoc National Forest,2029300.948,20,36
80,295444010328,Monongahela National Forest,1703663.673,46,69
81,106887010328,Mt. Baker National Forest,1317676.621,25,36
82,295468010328,Mt. Hood National Forest,1189054.223,35,80
83,295423010328,Nantahala National Forest,1320763.161,101,142
84,295470010328,Nebraska National Forest,229214.809,13,28
85,295487010328,Nezperce National Forest,2251767.6,17,32
86,295442010328,Nicolet National Forest,962147.383,14,20
87,295398010328,Ocala National Forest,442738.73,12,21
88,295466010328,Ochoco National Forest,981580.548,13,18
89,295395010328,Oconee National Forest,266011.081,2,16
90,295446010328,Okanogan National Forest,1538465.578,18,51
91,107266010328,Olympic National Forest,695868.519,8,40
92,295397010328,Osceola National Forest,164912.254,1,7
93,295482010328,Ottawa National Forest,1552576.539,15,26
94,295371010328,Ouachita National Forest,2724204.122,45,82
95,295378010328,Ozark National Forest,1492437.156,32,75
96,295486010328,Payette National Forest,2425854.781,23,32
97,295499010328,Pike National Forest,1273336.448,48,185
98,295422010328,Pisgah National Forest,1160327.841,130,270
99,295390010328,Plumas National Forest,1405712.629,18,37
100,295375010328,Prescott National Forest,1411303.258,29,97
101,295498010328,Rio Grande National Forest,1937386.467,37,60
102,295465010328,Rogue River National Forest,680891.523,10,37
103,295497010328,Roosevelt National Forest,1080114.504,155,279
104,295496010328,Routt National Forest,1249142.864,26,70
105,295456010328,Sabine National Forest,454541.88,6,12
106,295410010328,Salmon National Forest,1796860.143,14,27
107,295455010328,Sam Houston National Forest,495315.845,12,33
108,295433010328,Samuel R. McKelvie National Forest,116496.427,0,2
109,295391010328,San Bernardino National Forest,815569.325,42,80
110,295495010328,San Isabel National Forest,1224404.255,27,131
111,295494010328,San Juan National Forest,2093914.595,73,143
112,295425010328,Santa Fe National Forest,1680521.198,59,151
113,295408010328,Sawtooth National Forest,1892720.857,30,44
114,295392010328,Sequoia National Forest,1185896.371,19,44
115,295393010328,Shasta National Forest,1647135.911,21,48
116,295406010328,Shawnee National Forest,732629.44,27,45
117,295441010328,Shoshone National Forest,2468820.737,34,68
118,295394010328,Sierra National Forest,1413486.387,22,42
119,295464010328,Siskiyou National Forest,1161692.775,17,34
120,295376010328,Sitgreaves National Forest,886990.733,28,38
121,295463010328,Siuslaw National Forest,832463.327,19,78
122,295384010328,Six Rivers National Forest,1081945.496,26,44
123,108625010328,Snoqualmie National Forest,1586107.274,39,79
124,295379010328,St. Francis National Forest,29615.214,1,3
125,295409010328,St. Joe National Forest,909355.415,6,18
126,295503010328,Stanislaus National Forest,1092025.607,17,37
127,295461010328,Sumter National Forest,959507.957,24,69
128,295480010328,Superior National Forest,3271106.117,54,90
129,295504010328,Tahoe National Forest,1225633.35,36,60
130,295367010328,Talladega National Forest,753783.719,8,25
131,295407010328,Targhee National Forest,1691496.947,19,40
132,295440010328,Teton National Forest,1686912.251,11,31
133,295432010328,Toiyabe National Forest,4231626.374,110,183
134,295415010328,Tombigbee National Forest,119662.575,0,5
135,295370010328,Tongass National Forest,17699529.29,54,124
136,295377010328,Tonto National Forest,2966417.901,62,107
137,295505010328,Trinity National Forest,1188515.052,16,32
138,295368010328,Tuskegee National Forest,15649.277,0,3
139,96813010328,Uinta National Forest,961743.024,28,66
140,295438010328,Umatilla National Forest,1511875.426,27,48
141,295437010328,Umpqua National Forest,1030090.052,18,19
142,295402010328,Uncompahgre National Forest,1041204.879,15,40
143,295420010328,Uwharrie National Forest,219721.745,2,11
144,107474010328,Wallowa National Forest,1064857.162,9,27
145,295450010328,Wasatch National Forest,1071308.285,45,123
146,295419010328,Wayne National Forest,853705.641,19,42
147,108201010328,Wenatchee National Forest,1963052.04,36,78
148,295430010328,White Mountain National Forest,856910.747,29,83
149,295401010328,White River National Forest,2482446.167,97,153
150,109214010328,Whitman National Forest,1311082.638,23,41
151,295436010328,Willamette National Forest,1794216.105,42,54
152,295365010328,William B. Bankhead National Forest,349259.985,7,13
153,262611010328,Winema National Forest,1094251.13,16,28
